# column 0 is pixels, column 1 is signal
0.000000000000000000e+00,3.248697916666666297e-01
1.000000000000000000e+00,3.912760416666667962e-01
2.000000000000000000e+00,2.421875000000000555e-01
3.000000000000000000e+00,2.988281250000001110e-01
4.000000000000000000e+00,4.026692708333332593e-01
5.000000000000000000e+00,3.115234374999998890e-01
6.000000000000000000e+00,4.329427083333333148e-01
7.000000000000000000e+00,3.294270833333334814e-01
8.000000000000000000e+00,2.597656250000000555e-01
9.000000000000000000e+00,2.454427083333333148e-01
1.000000000000000000e+01,1.936848958333333703e-01
1.100000000000000000e+01,2.050781250000000278e-01
1.200000000000000000e+01,1.656901041666666019e-01
1.300000000000000000e+01,1.975911458333333703e-01
1.400000000000000000e+01,1.396484375000000278e-01
1.500000000000000000e+01,1.826171875000000000e-01
1.600000000000000000e+01,1.904296875000000000e-01
1.700000000000000000e+01,1.246744791666666713e-01
1.800000000000000000e+01,1.611328125000000000e-01
1.900000000000000000e+01,1.914062499999999722e-01
2.000000000000000000e+01,1.783854166666666574e-01
2.100000000000000000e+01,2.513020833333333703e-01
2.200000000000000000e+01,2.304687499999999722e-01
2.300000000000000000e+01,2.050781250000000278e-01
2.400000000000000000e+01,1.412760416666666297e-01
2.500000000000000000e+01,1.800130208333333703e-01
2.600000000000000000e+01,1.634114583333333148e-01
2.700000000000000000e+01,1.406250000000000278e-01
2.800000000000000000e+01,7.519531250000000000e-02
2.900000000000000000e+01,1.425781249999999722e-01
3.000000000000000000e+01,1.702473958333333148e-01
3.100000000000000000e+01,1.152343749999999861e-01
3.200000000000000000e+01,9.733072916666667129e-02
3.300000000000000000e+01,4.817708333333333565e-02
3.400000000000000000e+01,9.309895833333332871e-02
3.500000000000000000e+01,7.714843750000000000e-02
3.600000000000000000e+01,5.794270833333333565e-02
3.700000000000000000e+01,1.223958333333333703e-01
3.800000000000000000e+01,1.295572916666666574e-01
3.900000000000000000e+01,9.895833333333330095e-02
4.000000000000000000e+01,1.162109375000000000e-01
4.100000000000000000e+01,7.063802083333332871e-02
4.200000000000000000e+01,1.057942708333333426e-01
4.300000000000000000e+01,8.821614583333334259e-02
4.400000000000000000e+01,5.598958333333333565e-02
4.500000000000000000e+01,8.170572916666668517e-02
4.600000000000000000e+01,5.436197916666667129e-02
4.700000000000000000e+01,6.640625000000000000e-02
4.800000000000000000e+01,1.074218750000000000e-01
4.900000000000000000e+01,1.292317708333333426e-01
5.000000000000000000e+01,2.353515625000000278e-01
5.100000000000000000e+01,1.682942708333333148e-01
